country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
CZ,CZ-JC,South Bohemia,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.0,14.47,27,248
CZ,CZ-JM,South Moravia,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.0,16.62,33,250
CZ,CZ-KA,Karlovy Vary,2012,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.23,12.87,24,247
CZ,CZ-KR,Hradec Králové,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.21,15.83,28,247
CZ,CZ-LI,Liberec,2012,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.77,15.05,24,246
CZ,CZ-MO,Moravian-Silesian,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.82,18.26,28,247
CZ,CZ-OL,Olomouc,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.6,17.25,30,248
CZ,CZ-PA,Pardubice,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.03,15.78,28,247
CZ,CZ-PL,Plzeň,2012,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.74,13.38,26,248
CZ,CZ-PR,Prague,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.08,14.44,30,248
CZ,CZ-ST,Central Bohemia,2012,Z2,0,0,0.009134684189400336,1,0,0.33,0.14,5.46,49.88,14.66,30,248
CZ,CZ-US,Ústí nad Labem,2012,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,50.66,14.03,25,246
CZ,CZ-VY,Vysočina,2012,Z3,0,0,0.009134684189400336,1,0,0.33,0.14,5.46,49.4,15.58,27,248
CZ,CZ-ZL,Zlín,2012,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.23,17.67,30,248
